line_name,specimen__id,specimen__name,specimen__hemisphere,structure__id,structure__name,structure__acronym,structure_parent__id,structure_parent__acronym,structure__layer,nr__max_euclidean_distance,nr__number_stems,nr__number_bifurcations,nr__average_contraction,nr__average_parent_daughter_ratio,nrwkf__id,erwkf__id,ef__upstroke_downstroke_ratio_long_square,ef__adaptation,ef__f_i_curve_slope,ef__threshold_i_long_square,ef__tau,ef__avg_isi,ef__avg_firing_rate,ef__ri,ef__peak_t_ramp,ef__vrest,si__height,si__width,si__path,csl__x,csl__y,csl__z,csl__normalized_depth,cell_reporter_status,m__glif,m__biophys_perisomatic,m__biophys_all_active,tag__apical,tag__dendrite_type,morph_thumb_path,ephys_thumb_path,ephys_inst_thresh_thumb_path,id
Scnn1a-Tg2-Cre,313862022,Scnn1a-Tg2-Cre;Ai14-167081.03.02.01,right,721,"Primary visual area, layer 4",VISp4,385,VISp,4,412.5712508,8,40,0.882619051,1.021572863,397905350,491201630,5.261166177,0.288858289,0.159756098,190,17.65307755,147.79,6.76635767,58.28128653,2.55227,-63.57497826,7570,5762,/external/mousecelltypes/prod146/specimen_313862022/min_xy_313862022.aff,9085.41,1125.78,8284.35,0.388302,cre reporter positive,0,1,0,intact,spiny,/api/v2/well_known_file_download/487659609,/api/v2/well_known_file_download/487623088,/api/v2/well_known_file_download/491376069,606
Rorb-IRES2-Cre,479508018,Rorb-IRES2-Cre-D;Ai14-196662.03.01.01,left,721,"Primary visual area, layer 4",VISp4,385,VISp,4,,,,,,,491198556,4.957589516,0.097033648,0.042554644,130,21.29083223,106.3575,9.402251839,189.3750053,2.475856667,-72.23741695,,,,9408.5,1042.77,3425.39,0.296491,cre reporter positive,2,0,0,intact,spiny,,/api/v2/well_known_file_download/491384619,/api/v2/well_known_file_download/491384621,522
Htr3a-Cre_NO152,442627661,Htr3a-Cre_NO152;Ai14-178904.06.01.01,left,312782566,"Anterior area, layer 6a",VISa6a,312782546,VISa,6a,,,,,,,491197971,4.843871421,0.02674379,0.122172298,230,6.668956573,112.6075,8.88040317,106.2499999,12.00427167,-78.26015827,,,,7709.23,1082.25,3547.1,0.709678,cre reporter positive,0,0,0,NA,aspiny,,/api/v2/well_known_file_download/487610447,/api/v2/well_known_file_download/491377923,81
Cux2-CreERT2,487358945,Cux2-CreERT2;Ai14-214155.05.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,,,,,,,496196532,4.815330821,,0.006781044,130,22.45048071,140.73,7.105805443,151.5626402,2.939443333,-77.83811124,,,,8004.28,928.956,3192.63,0.404064,cre reporter positive,5,0,0,intact,spiny,,/api/v2/well_known_file_download/487361512,/api/v2/well_known_file_download/491767690,38
Scnn1a-Tg3-Cre,469803127,Scnn1a-Tg3-Cre;Ai14-180215.05.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,,,,,,,491201644,4.756383826,0.022991674,0.245112352,50,28.24598108,57.5034375,17.39026471,199.3750022,2.15084,-76.37581285,7570,5749,/external/mousecelltypes/prod307/specimen_469803127/min_xy_469803127.aff,7979.68,833.395,7908.42,0.414262,cre reporter positive,5,0,0,intact,spiny,,/api/v2/well_known_file_download/487635954,/api/v2/well_known_file_download/491376335,671
Rbp4-Cre_KL100,325941643,Rbp4-Cre_KL100;Ai14-175331.06.01.01,left,312782616,"Rostrolateral area, layer 5",VISrl5,417,VISrl,5,568.9110081,10,28,0.866655791,0.676369213,501146941,491202316,4.70933606,0.083333773,0.091095897,130,46.53329851,131.8828571,7.582486622,148.4375142,4.472106667,-72.23770905,5746,5745,/external/mousecelltypes/prod217/specimen_325941643/min_xy_325941643.aff,8010.84,1448.18,2764.96,0.733296,cre reporter positive,0,0,0,intact,spiny,/api/v2/well_known_file_download/487659313,/api/v2/well_known_file_download/487619287,/api/v2/well_known_file_download/491376039,401
Rorb-IRES2-Cre,480171386,Rorb-IRES2-Cre-D;Ai14-197356.04.01.01,left,721,"Primary visual area, layer 4",VISp4,385,VISp,4,,,,,,,487096709,4.697517125,0.027952035,0.178261606,90,22.96444268,73.97958333,13.51724293,167.0312517,3.240186667,-72.43114528,7604,9447,/external/mousecelltypes/prod442/specimen_480171386/min_xy_480171386.aff,8653.41,1329.55,2492.66,0.379819,cre reporter positive,2,0,0,intact,spiny,,/api/v2/well_known_file_download/483108650,/api/v2/well_known_file_download/491377251,537
Cux2-CreERT2,486560376,Cux2-CreERT2;Ai14-209118.03.01.01,left,721,"Primary visual area, layer 4",VISp4,385,VISp,4,395.9687158,6,28,0.915685312,0.82872852,508278898,496453742,4.586706002,0.261085381,0.130135261,110,19.08162774,199.75,5.006257822,156.8750398,3.235971667,-80.40333331,7561,7599,/external/mousecelltypes/prod520/specimen_486560376/min_xy_486560376.aff,8951.29,1116.41,2877.54,0.318905,cre reporter positive,2,0,0,intact,spiny,/api/v2/well_known_file_download/508279122,/api/v2/well_known_file_download/486561182,/api/v2/well_known_file_download/491383715,32
Cux2-CreERT2,490170480,Cux2-CreERT2;Ai14-214870.02.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,,,,,,,497262705,4.575732453,0.023914611,0.254718216,70,20.05003652,65.13269231,15.3532729,198.9062139,2.73731,-77.29038906,,,,9162.52,1325.09,2909.86,0.451907,cre reporter positive,2,0,0,intact,spiny,,/api/v2/well_known_file_download/490171101,/api/v2/well_known_file_download/491611574,51
Nr5a1-Cre,482726727,Nr5a1-Cre;Ai14-199362.05.01.01,left,721,"Primary visual area, layer 4",VISp4,385,VISp,4,,,,,,,496158659,4.522856755,0.048308998,0.180681827,110,20.20449754,69.98791667,14.2881807,148.7499635,3.004828333,-83.56307293,7596,7590,/external/mousecelltypes/prod466/specimen_482726727/min_xy_482726727.aff,8148.09,825.695,3221.78,0.307051,cre reporter positive,2,0,0,intact,spiny,,/api/v2/well_known_file_download/484629158,/api/v2/well_known_file_download/491384547,194
